"Listado de Existencias		",,,,
"Reportes de inventario Fecha: 23/07/2025		",,,,
,,,,
"Codigo			","Nombre			",Modelo,Marca,
"023601023           		","FARSENTAL COMPUESTO X 100 TABLETAS                                                        		","PROPINOXATO CLORHIDRATO 10 MG, CLONIXINATO DE LISINA 125 MG                               ",FARDEL                                                                                    ,
"023601024           		","DAZEL 40 MG X 20 TABLETAS                                                                 		",BROMURO DE OTILONIO 40 MG                                                                 ,LANCASCO                                                                                  ,
"023601025           		","DUSPATALIN 200 MG X 20 TABLETAS                                                           		",MEBEVERINA CLORHIDRATO 200 MG                                                             ,ABBOTT                                                                                    ,
"023601026           		","KOLICON AF SUSPENSION X 120 ML                                                            		",DIMETICONA 100 MG                                                                         ,MEDIKEN                                                                                   ,
"023601027           		","KOLEXYDOL X 10 CAPSULAS                                                                   		",N BUTILBROMURO DE HIOSCINA 10 MG/IBUPROFENO 300 MG                                        ,MEDIKEN                                                                                   ,
"023601028           		","SUPRA 4 MG X 30 TABLETAS                                                                  		",LIDAMIDINA                                                                                ,VALEAN                                                                                    ,
"023601029           		","SERTAL COMPUESTO X 200 TABLETAS                                                           		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",ROEMMERS                                                                                  ,
"023601030           		","SERTAL GOTAS X 20 ML                                                                      		",PROPINOX CLORHIDRATO                                                                      ,ROEMMERS                                                                                  ,
"023601031           		","ENZITROL X 30 TABLETAS                                                                    		",PANCREATINA POLISILOXANO                                                                  ,MEDIPRODUTS                                                                               ,
"023601032           		","SERTRASIL COMPUESTO X 100 TABLETAS                                                        		","PROPINOXATO, CLONIXINATO DE LISINA                                                        ",GLOBAL PHARMA                                                                             ,
"023601033           		","ESPASMO DOLOFOR AMPOLLAS X 2 ML                                                           		","PROPINOXATO, CLOXINATO DE LISINA                                                          ",UNIPHARM PHARMANOVA                                                                       ,
"023601034           		","ESPASMO DOLOFOR X 200 TABLETAS                                                            		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",UNIPHARM PHARMANOVA                                                                       ,
"023601035           		","PASMOLIT AMPOLLA X 2 ML                                                                   		","METAMIZOL SODICO, BROMURO DE BUTIL HIOSCINA                                               ",VIJOSA                                                                                    ,
"023601036           		","NOXAT 5 MG X 100 TABLETAS                                                                 		",PROPINOXATO 5 MG                                                                          ,GAMMA                                                                                     ,
"023601037           		","DICETEL 100 MG X 28 TABLETAS                                                              		",BROMURO DE PINAVERIO                                                                      ,BYK GULDEN                                                                                ,
"023601038           		","FARSENTAL GOTAS PEDIATRICAS X 15 ML                                                       		",PROPINOXATO                                                                               ,FARDEL                                                                                    ,
"023601039           		","RILATEN 10 MG X 30 GRAGEAS                                                                		",ROCIVERINA 10 MG                                                                          ,MENARINI                                                                                  ,
"023601040           		","DORCOL FORTE X 20 COMPRIMIDOS                                                             		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",EUROFARMA                                                                                 ,
"023601041           		","AERO OM 40 MG X 250 TABLETAS                                                              		",SIMETICONA                                                                                ,OM                                                                                        ,
"023601042           		","SPACEK 40 MG X 30 TABLETAS                                                                		",BROMURO DE OTILONIO 40 MG                                                                 ,MED PHARMA                                                                                ,
"023601043           		","MUVETT 200 MG X 21 CAPSULA                                                                		",TRIMEBUTINA 200 MG                                                                        ,PROCAPS                                                                                   ,
"023601044           		","MUVETT 300 MG X 20 CAPSULAS                                                               		",TRIMEBUTINA 300 MG                                                                        ,PROCAPS                                                                                   ,
"023601045           		","SERTAL COMPUESTO FORTE X 10 COMPRIMIDOS                                                   		",PROPINOX CLONIXINATO DE LISINA                                                            ,ROEMMERS                                                                                  ,
"023601046           		","BUSCAPINA 10 MG X 20 TABLETAS                                                             		",BUTILHIOSCINA 10 MG                                                                       ,SANOFI                                                                                    ,
"023601047           		","***RILATEN 20 MG X 6 AMPOLLAS                                                             		",ROCIVERINA 20 MG/2ML                                                                      ,MENARINI                                                                                  ,
"023601048           		","BROMURO DE OTILONIO CALOX 40 MG X 30 TABLETAS                                             		",BROMURO DE OTILONIO 40 MG                                                                 ,CALOX                                                                                     ,
"023601049           		","DUOPAS X 10 CAPSULAS                                                                      		","IBUPROFENO 400 MG, N-BUTILBROMURO DE HIOSCINA 20 MG                                       ",CHALVER                                                                                   ,
"023601050           		","AERO OM FORTE X 20 COMPRIMIDOS MASTICABLES                                                		",SIMETICONA 125 MG                                                                         ,OM                                                                                        ,
"023601051           		","MUVETT POLVO PARA SUSPENSION X 120 ML                                                     		",TRIMEBUTINA 200 MG                                                                        ,PROCAPS                                                                                   ,
"023601052           		","ENDIAL DIGEST X 20 COMPRIMIDOS RECUBIERTOS                                                		",CITAPRIDA 1 MG/SIMETICONA 200 MG/PANCREATINA                                              ,ROEMMERS                                                                                  ,
"023601053           		","DIGESTOL X 50 TABLETAS                                                                    		",                                                                                          ,SUIZOS                                                                                    ,
"023601054           		","PROPINOXATO/CLONIXINATO TQ MK X 100 TABLETAS                                              		",PROPINOXATO HCI 10 MG/CLONIXINATO DE LISINA 125                                           ,MK                                                                                        ,
"023601055           		","OTIOSPAN 40 MG X 20 TABLETAS                                                              		",BROMURO DE OTILONIO 40 MG                                                                 ,ARSAL                                                                                     ,
"023601056           		","SCI 40 MG X 30 TABLETAS                                                                   		",BROMURO DE OTILONIO 40 MG                                                                 ,INFASA                                                                                    ,
"023601057           		","ALEVIAN DUO X 16 CAPSULAS                                                                 		",BROMURO DE PINAVERIO 100 MG/DIMETICONA 300 MG                                             ,ASOFARMA                                                                                  ,
"023601058           		","ALEVIAN DUO X 32 CAPSULAS                                                                 		",BROMURO DE PINAVERIO 100 MG/DIMETICONA 300 MG                                             ,ASOFARMA                                                                                  ,
"023601059           		","MOTIDEL ENZIMATICO X 100 TABLETAS                                                         		","PANCREATINA 200 MG, SIMETICONA 80 MG                                                      ",FARDEL                                                                                    ,
"023601060           		","SERTAL FORTE PERLA X 10 UNIDADES                                                          		",PROPINOX CLORHIDRATO 20 MG                                                                ,ROEMMERS                                                                                  ,
"023601061           		","FARCOLIT 40 MG X 100 TABLETAS                                                             		",BROMURO DE OTILONIO 40 MG                                                                 ,FARDEL                                                                                    ,
"023601062           		","MUVETT S X 21 TABLETAS RECUBIERTAS                                                        		","TRIMEBUTINA 200 MG, SIMETICONA 120 MG                                                     ",PROCAPS                                                                                   ,
"023601063           		","COLIFIN X 30 CAPSULAS                                                                     		",                                                                                          ,PRONAVID                                                                                  ,
"023601064           		","PINAVIX 100 MG X 30 TABLETAS                                                              		",BROMURO DE PINAVERIO 100 MG                                                               ,ROWE                                                                                      ,
"023601065           		","DINISTER 200 MG X 20 CAPSULAS                                                             		",MEBERINA CLORHIDRATO 200 MG                                                               ,ROEMMERS                                                                                  ,
"023601066           		","LIBERTRIN 200 MG X 24 COMPRIMIDOS                                                         		",TRIMEBUTINA 200 MG                                                                        ,CARNOT                                                                                    ,
"023601067           		","MUVETT FLORA 300 MG X 10 SOBRES                                                           		",TRIMEBUTINA 300 MG                                                                        ,PROCAPS                                                                                   ,
"023601068           		","MUVETT 50 MG INYECTABLE X 2 AMPOLLAS 5 ML                                                 		",TRIMEBUTINA  MALEATO 50 MG /5ML                                                           ,PROCAPS                                                                                   ,
"023601069           		","COLONFINE GOTAS X 60 ML                                                                   		",                                                                                          ,SOLARIS                                                                                   ,
"023601070           		","SIMETICONA PL GOTAS X 20 ML                                                               		",SIMETICONA 100 MG/ML                                                                      ,PAILL                                                                                     ,
"023601071           		","COLICA 40 MG X 30  TABLETAS                                                               		",BROMURO DE OTILONIO 40 MG                                                                 ,EUROFARMA                                                                                 ,
"023601072           		","CLORDIAX COMPUESTO X 10 TABLETAS                                                          		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",PHARMALAT                                                                                 ,
"023601073           		","COLIANTEN 40 MG X 20 TABLETAS                                                             		",BROMURO DE OTILONIO 40 MG                                                                 ,FARNET                                                                                    ,
"023601074           		","CREON 10000 X 20 CAPSULAS                                                                 		",PANCREATINA 150 MG                                                                        ,ABBOTT                                                                                    ,
"023601075           		","HIOSCINA ECOMED 10 MG X 100 TABLETAS                                                      		",HIOSCINA 10MG                                                                             ,ECOMED                                                                                    ,
"023601076           		","ENZIMATICO DB X 100 TABLETAS RECUBIERTAS                                                  		","PANCREATINA 175 MG/ LIPASA 350 UN /  AMILASA 4,375.0 USP                                  ",DB                                                                                        ,
"023601077           		","DOLO ESPASMON X 100 TABLETAS                                                              		",PROPINOXATO 10MG/CLONIXINATO DE LISINA 125 MG                                             ,PIERSAN                                                                                   ,
"023601078           		","COLICUR SOLUCION X 30 ML                                                                  		","PLANTAGO MAJOR EXTRACTO ETANOLICO, MATRICARIA, FOENICULUM VUGARE                          ",WEGERICH                                                                                  ,
"023601079           		","KOLICON GOTAS X 20 ML                                                                     		",DIMETICONA 100 MG/ML                                                                      ,MEDIKEN                                                                                   ,
"023601080           		","FRIJOSI X 20 CAPSULAS                                                                     		",ALPHA GALACTOSIDASE 300                                                                   ,INHOSPI                                                                                   ,
"023601081           		","PAVERIN COMPUESTO X 20 TABLETAS                                                           		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",INFASA                                                                                    ,
"023601082           		","AEROCIN GOTAS X 30 ML                                                                     		",DIMETICONA 100 MG                                                                         ,ROWALT                                                                                    ,
"023601083           		","KOLICON FORTE X 50 CAPSULAS                                                               		",SIMETICONA 125 MG                                                                         ,MEDIKEN                                                                                   ,
"023601084           		","DIGESTOMEN COMPLEX X 100 TABLETAS                                                         		",PANCREATINA                                                                               ,MENARINI                                                                                  ,
"023601085           		","LIBERTRIM ALFA X 32 COMPRIMIDOS                                                           		",TRIMEBUTINA 154 MG/SIMETICONA 75 MG/ALFA GALACTOSIDASA 45 MG                              ,CARNOT                                                                                    ,
"023601086           		","PENTASA 500 MG X 50 TABLETAS                                                              		",MESALAZINA 500 MG                                                                         ,AGEFINSA                                                                                  ,
"023601087           		","CREON 25000/300 MG X 20 CAPS                                                              		",PANCREATINA 300 MG                                                                        ,ABBOTT                                                                                    ,
"023601088           		","DICETEL DUO X 24 TABLETAS                                                                 		","BROMURO DE PINAVERIO 100 MG, DIMETICONA 300 MG                                            ",ABBOTT                                                                                    ,
"023601089           		","FASTWIN ARGUS 80 MGX 30 TABLETAS                                                          		",DROTAVERINA CLORHIDRATO 80 MG                                                             ,ARGUS SALUD                                                                               ,
"023601090           		","ALKA SELTZER FRUTABS X 36 TABLETAS MASTICABLES                                            		",ACIDO ACETILSALICILICO                                                                    ,BAYER                                                                                     ,
"023601091           		","DORCOL FORTE X 200 TABLETAS                                                               		","CLONIXINATO DE LISINA 125 MG, PROPINOX CLORHIDRATO 10 MG                                  ",EUROFARMA                                                                                 ,
"023601092           		","MOVILIB 200 MG X 30 CAPSULAS                                                              		",CLORHIDRATO DE MEBEVERINA 200 MG                                                          ,GLOBAL PHARMA                                                                             ,
"023601093           		","ELIXIR ESPASMODICO X 120 ML                                                               		",ELIXIR                                                                                    ,PODOFILINA                                                                                ,
"023601094           		","COLOPASMIN DB X 20 TABLETAS                                                               		",BROMURO DE OTILONIO 40 MG                                                                 ,DB                                                                                        ,
"023601095           		","ENZIMATICO DB X 30 TABLETAS RECUBIERTAS                                                   		","PANCREATINA 175 MG/ LIPASA 350 UN /  AMILASA 4,375.0 USP                                  ",DB                                                                                        ,
"023601096           		","TRIBUNA 200 MG X 30 CAPSULAS                                                              		",TRIMEBUTINA 200 MG                                                                        ,PHARMEDIC                                                                                 ,
"023601097           		","BENZOCLID DUO X 30 CAPSULAS                                                               		","SIMETICONA, BROMURO DE OTILONIO                                                           ",MEDIKEN                                                                                   ,
"023601098           		","SINCOLIX 10 MG X 50 TABLETAS                                                              		",HIOSCINA BUTILBROMURO                                                                     ,PHARMEDIC                                                                                 ,
"023601099           		","ELIXIR PASMICO X 240 ML                                                                   		",ELIXIR                                                                                    ,PODOFILINA                                                                                ,
"023601100           		","PANCOL X 20 CAPSULAS                                                                      		","FLOROGLUCINOL 80 MG, TRIMETILFLOROGLUCINOL 80 MG                                          ",SANOFI                                                                                    ,
"023601101           		","BENZOCLID DUO X 100 CAPSULAS                                                              		","SIMETICONA 100 MG, BROMURO DE OTILONIO 40 MG                                              ",MEDIKEN                                                                                   ,
"023601102           		","SERNOX COMPUESTO X 20 TABLETAS                                                            		",PROPINOXATO LISINA                                                                        ,PAILL                                                                                     ,
"023601103           		","DIGESTA X 30 CAPSULAS                                                                     		","SIMETICONA 125 MG, LACTASA 9000                                                           ",PROCAPS                                                                                   ,
"023601104           		","FLADOL COMPUESTO X 20 TABLETAS                                                            		",HIOSCINA METAMIZOL                                                                        ,NEWPORT PHARMACEUTICAL IN                                                                 ,
"023601105           		","ENZYPLUS X 30 CAPSULAS                                                                    		",PANCREATINA DIMETILPOLISILOXANO                                                           ,COFASA                                                                                    ,
"023601106           		","TRIMEBUTINA + SIMETICONA TQ MK X 30 TABLETAS                                              		","TRIMEBUTINA 200 MG, SIMETICONA 120 MG                                                     ",MK                                                                                        ,
"023601107           		","ENZIMAS DIGESTIVAS FQ X 100 CAPSULAS                                                      		",                                                                                          ,FARQUISAL                                                                                 ,
"023601108           		","ESPASMODEN GOTAS X 15 ML                                                                  		",DIMETICONA                                                                                ,MORAZAN                                                                                   ,
"023601109           		","KALFAX 100/300 MG X 30 CAPSULAS                                                           		",BROMURO DE PINAVERINO + SIMETICONA                                                        ,LANCASCO                                                                                  ,
"023601110           		","PENTASA 1G X 14 SUPOSITORIOS                                                              		",MESALAZINA                                                                                ,AGEFINSA                                                                                  ,
"023601111           		","MUVETT S X 60 TABLETAS RECUBIERTAS                                                        		","TRIMEBUTINA 200 MG, SIMETICONA 120 MG                                                     ",PROCAPS                                                                                   ,
"023601112           		","KOLEXYDOL H 20 MG X 10 TABLETAS                                                           		",N BUTIL BROMURO DE HIOSCINA 20 MG                                                         ,MEDIKEN                                                                                   ,
"023601113           		","TRIBUNA S X 30 CAPSULAS                                                                   		",TRIMEBUTINA                                                                               ,PHARMEDIC                                                                                 ,
"023601114           		","COLISTOP 40 MG X 20 COMPRIMIDOS                                                           		",BROMURO DE OTILONIO 40 MG                                                                 ,DROGUEMED                                                                                 ,
"023601115           		","ESENCIA DE LIMA HIFAR X 120 ML                                                            		",DOLOR DE ESTOMAGO                                                                         ,HIFAR                                                                                     ,
"023601116           		","CARMICIDE GOTAS X 15 ML                                                                   		","SIMETICONA, ACEITE DE ENELDO, ACEITE DE HINOJO                                            ",TRINOMED                                                                                  ,
"023601117           		","LACTOSI PLUS X 20 CAPSULAS                                                                		","AMYLASE, PROTEASE, LIPASE, LACTASE                                                        ",INHOSPI                                                                                   ,
"023601118           		","COLICA 40 MG X 100 COMPRIMIDOS                                                            		",BROMURO DE OTILONIO                                                                       ,EUROFARMA                                                                                 ,
"023601119           		","OTILIX 40 MG X 30 TABLETAS                                                                		",BROMURO DE OTILONIO                                                                       ,FARMEX                                                                                    ,
"023601120           		","ESENCIA CORONADA MORAZAN X 240 ML                                                         		",ESENCIA CORONADA                                                                          ,MORAZAN                                                                                   ,
"023601121           		","SIETE ESPIRITUS PARA TOMAR MORAZAN X 240 ML                                               		",SIETE ESPIRITUS                                                                           ,MORAZAN                                                                                   ,
"023601122           		","ESENCIA DE MENTA MORAZAN X 240 ML                                                         		",ESENCIA DE MENTA                                                                          ,MORAZAN                                                                                   ,
"023601123           		","CLID NF 2.5MG X 100 TABLETAS                                                              		",BROMURO DE CLIDINIO                                                                       ,GAMMA                                                                                     ,
"023601124           		","PEPTO BISMOL SABOR CEREZA X 118 ML                                                        		",SUBSALICILATO DE BISMUTO                                                                  ,PROCTER & GAMBLE                                                                          ,
"023601125           		","PEPTO BISMOL SABOR CEREZA X 236 ML                                                        		",SUBSALICILATO DE BISMUTO                                                                  ,PROCTER Y GAMBLE                                                                          ,
"023601126           		","BUSCAPINA 20 MG/ ML CAJA X 3 AMPOLLAS                                                     		",BROMURO DE BUTILHIOSCINA                                                                  ,SANOFI                                                                                    ,
,,,,
"023701               MEDICAMENTOS/DOLOR DE GARGANTA/GRIPE, TOS Y ASMA                                		",,,,
"023701001           		","ANGINOVAG SPRAY BUCAL X 10 ML                                                             		","DECUALINIO CLORURO,ACIDO B-GLICIRRETINICO, HIDROCORTISONA, LIDOCAINA                      ",FERRER                                                                                    ,
"023701002           		","KAMILLOSAN SPRAY BUCAL X 30 ML                                                            		",ESTRACTO ETANOLICO DE FLORES DE MANSANILLA                                                ,ALTIAN PHARMA                                                                             ,
"023701003           		","TANTUM VERDE SPRAY BUCAL 60 ML                                                            		",BENCIDAMINA                                                                               ,IQSA                                                                                      ,
"023701004           		","VANTAL BUCOFARINGEO X 200 ML                                                              		",BENCIDAMINA                                                                               ,GROSSMAN                                                                                  ,
"023701005           		","HISTAKEM SOLUCION PARA ENJUAGUE BUCAL X 120 ML                                            		","CLORURO DE CETILPIRIDINIO, MALEATO DE CLORFENIRAMINA                                      ",MEDIKEN                                                                                   ,
"023701006           		","TANTUM VERDE COLUTORIO X 120 ML                                                           		",BENCIDAMINA                                                                               ,IQSA                                                                                      ,
"023701007           		","SANABUCAL SPRAY BUCAL X 30 ML                                                             		",                                                                                          ,SUIZOS                                                                                    ,
"023701008           		","BENCIDEL COLUTORIO X 120 ML                                                               		",BENCIDAMINA CLORHIDRATO                                                                   ,FARDEL                                                                                    ,
"023701009           		","DECALAN X 160 TABLETAS                                                                    		",CETILPIRIDINIO LIDOCAINA                                                                  ,MEPHA                                                                                     ,
"023701010           		","SUDAGRIP SOBRE POLVO X 25 UNIDADE                                                         		","AMANTADINA,PARACETAMOL,FENILEFRINA                                                        ",PAILL                                                                                     ,
"023701011           		","HISTAKEN SPRAY BUCAL X 30 ML                                                              		",CETILPIRIDINIO CLORFENIRAMINA                                                             ,MEDIKEN                                                                                   ,
"023701012           		","MEDILLOSAN SPRAY BUCAL X 30 ML                                                            		","EXTRACTO DE FLORES DE MANZANILLA, MATRICARIA                                              ",MEDIKEN                                                                                   ,
"023701013           		","HISTAKEM BLOK SPRAY BUCAL X 30 ML                                                         		",CLORHIDRATO DE CETILPIRIDINO/BENZOCAINA                                                   ,MEDIKEN                                                                                   ,
"023701014           		","DECATILENO X 100 TABLETAS                                                                 		","HIDROCLORURO DE CINCOCAINA, CLORURO DE DECUALINIO                                         ",MEPHA                                                                                     ,
"023701015           		","BUCOSOL COLUTORIO X 120 ML                                                                		",CLORHIDRATO DE BENCIDAMINA AL 0.15%                                                       ,ROWALT                                                                                    ,
"023701016           		","BUCOSOL SPRAY BUCAL X 120 ML                                                              		",CLORHIDRATO DE BENCIDAMINA AL 0.15%                                                       ,ROWALT                                                                                    ,
"023701017           		","FLEXIUMCAINA X 25 SOBRES DE 4 TABLETAS                                                    		",CLORHIDRATO DE BENCIDAMINA 3 MG                                                           ,ROWALT                                                                                    ,
"023701018           		","MICRODACYN SOLUCION BUCAL X 120 ML                                                        		",ACIDO HIPOCLOROSO                                                                         ,BUSSIE                                                                                    ,
"023701019           		","DICLORAL SOLUCION BUCAL X 200 ML                                                          		",DICLOFENACO                                                                               ,ATRAL CIPAN                                                                               ,
"023701020           		","SANABUCAL SPRAY BUCAL X 7 ML                                                              		",                                                                                          ,SUIZOS                                                                                    ,
"023701021           		","BACTOVIR SPRAY BUCAL X 30 ML                                                              		","EUCALIPTO, MELALEUCA, CURCUMA, CYMBOPOGON CITRATUS                                        ",WEGERICH                                                                                  ,
"023701022           		","SANABUCAL SOLUCION BUCAL X 30 ML                                                          		",                                                                                          ,SUIZOS                                                                                    ,
"023701023           		","MICRODACYN 60 SOLUCION BUCAL X 240 ML                                                     		","ACIDO HIPOCLOROSO, HIPOCLORITO DE SODIO                                                   ",BUSSIE                                                                                    ,
"023701024           		","RINOFLUX-V X 100 CAPSULAS                                                                 		",AMANTADINA 50MG/CLORFENIRAMINA 3MG/ACETAMINOFEN 300MG                                     ,GENERIX                                                                                   ,
,,,,
"023801               MEDICAMENTOS/DOLOR MESTRUAL/DOLOR Y FIEBRE                                      		",,,,
"023801001           		","PONSTAN 500 MG X 100 TABLETAS                                                             		",ACIDO MEFENAMICO                                                                          ,PFIZER                                                                                    ,
"023801002           		","DORIVAL X 36 CAPSULAS BLANDAS                                                             		",IBUPROFENO 200 MG                                                                         ,BAYER                                                                                     ,
"023801003           		","FINADOL MUJER X 50 SOBRES                                                                 		",IBUPROFENO 200 MG                                                                         ,PHARMEDIC                                                                                 ,
"023801004           		","AGEFEN FEM 400 MG X 10 SOBRES                                                             		",IBUPROFENO 400 MG                                                                         ,AGEFINSA                                                                                  ,
,,,,
"023901               MEDICAMENTOS/ENFERMEDADES OCULARES/SALUD VISUAL                                 		",,,,
"023901001           		","NAPHACEL OFTENO SOLUCION OFTALMICA X 15 ML                                                		",NAFAZOLINA HIPROMELOSA                                                                    ,SOPHIA                                                                                    ,
"023901002           		","NAZIL OFTENO SOLUCION OFTALMICA X 15 ML                                                   		",NAFAZOLINA .01%                                                                           ,SOPHIA                                                                                    ,
"023901003           		","TOBRADEX SUSPENSION OFTALMICA 5 ML                                                        		","TOBRAMICINA, BETAMETASONA                                                                 ",ALCON                                                                                     ,
"023901004           		","NOVOTEARS SOLUCION OFTALMICA X 10 ML                                                      		",NAFAZOLINA HCL HIPROMELOSA DEXTRAN                                                        ,NICOLICH                                                                                  ,
"023901005           		","TRAVATAN GOTAS                                                                            		",TRAVAPROST 0.04MG                                                                         ,NOVARTIS                                                                                  ,
"023901006           		","ULTRACLEAR SOLUCION OFTALMICA X 15 ML                                                     		",NAFAZOLINA CLORHIDRATO                                                                    ,LAFAR                                                                                     ,
"023901007           		","SUEROSVITREOFAR SOLUCION OFTALMICA X 15 ML                                                		",IODURO DE POTASIO  IODURO DE SODIO                                                        ,LAFAR                                                                                     ,
"023901008           		","NAFAZOLINA GAMMA SOLUCION OFTALMICA X 15 ML                                               		",NAFAZOLINA 0.1G                                                                           ,GAMMA                                                                                     ,
"023901009           		","CYFLON SOLUCION OFTALMICA X 5 ML                                                          		",CIPROFLOXACINA                                                                            ,OFTISOL                                                                                   ,
"023901010           		","OFTIZOLAMIDA 250 MG X 20 TABLETAS                                                         		",ACETAZOLAMIDA 250 MG                                                                      ,OFTISOL                                                                                   ,
"023901011           		","SOLEX D SOLUCION OFTALMICA X 15 ML                                                        		",METILCELULOSA DEXTRAN 70                                                                  ,OFTISOL                                                                                   ,
"023901012           		","GLAUCOTENSIL T COLUCION OFTALMICA X 5 ML                                                  		","DORZOLAMIDA, TIMOLOL                                                                      ",ROEMMERS                                                                                  ,
"023901013           		","VIGAMOX SOLUCION OFTALMICA X 5 ML                                                         		",MOXIFLOXACINA                                                                             ,ALCON                                                                                     ,
"023901014           		","NEOPOLICORT SOLUCION OFTALMICA X 5 ML                                                     		",DEXAMETASONA 1.0MG/NEOMICINA 5.0 MG/POLIMIXINA B 6000 UI                                  ,ANDIFAR                                                                                   ,
"023901015           		","TEVIRIN SOLUCION OFTALMICA X 5 ML                                                         		",CLORURO DE BENZALCONIO                                                                    ,ANDIFAR                                                                                   ,
"023901016           		","BRIXIA SOLUCION OFTALMICA X 6 ML                                                          		",CLORHIDRATO DE AZELASTINA                                                                 ,ROEMMERS                                                                                  ,
